"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"169",0.778,0.6508,0.5048,0.6544,0.6508,0.4888,0.3432,0.5048,0.5048,0,0,0.00668410644321329,-0.00014815562718702,-0.0359231326770122,0.0337404139072994,-0.0607380580861878,-0.011429625975183,0.000216400892550142,0.011788359447256,0.0692282196909458,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"170",0.8308,0.654,0.4252,0.6536,0.654,0.4072,0.2144,0.4252,0.4252,0,0,0.00543052883882756,-0.00277184048560867,-0.0317356731005908,0.0245038414976969,-0.0622740247455751,-0.0119730911878766,-0.00233408622947366,0.00653464716174269,0.0568583544139644,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"171",0.026,0.1548,0.5256,0.166,0.1548,0.5192,0.8684,0.5256,0.4744,0,0,-0.0184069438679401,0.000921746163296141,-0.0371725561005591,0.0368307539177453,-0.0919103331788857,-0.0115291025281086,0.00127668701561172,0.0128635783304744,0.0695808676021478,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"172",0.3164,0.4,0.49,0.4032,0.4,0.4812,0.5688,0.49,0.49,0,0,-0.00559290560080028,-0.000885175985982696,-0.044274082341931,0.0415592882097067,-0.0825409729074736,-0.0152562833492265,-0.000648368867703311,0.0137492371022019,0.0712322580568619,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"173",0.0092,0.1012,0.4936,0.094,0.1012,0.4944,0.8908,0.4936,0.4936,0,0,-0.0213427098276347,-0.000286856821330027,-0.0333281034250315,0.0326831409174689,-0.0642532092063165,-0.0107171882531817,-0.000196866413584852,0.0109178412783284,0.0696582660044594,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"174",0.9068,0.736,0.4584,0.742,0.736,0.4648,0.1932,0.4584,0.4584,0,0,0.011918675624701,-0.00215226100868793,-0.0422047547323849,0.038459586742354,-0.0703796029762321,-0.014699988888223,-0.00251987805516136,0.0104549322022247,0.080880104565706,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"175",0.3344,0.4112,0.4712,0.4004,0.4112,0.4856,0.542,0.4712,0.4712,0,0,-0.00459234192598549,-0.00114896270748007,-0.0386384308478709,0.0360912105246621,-0.0697829370947229,-0.0134962367430495,-0.00142007132393926,0.0113754606362015,0.0650639545299127,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"176",0.2572,0.3392,0.4288,0.3428,0.3392,0.4292,0.526,0.4288,0.4288,0,0,-0.00974963192910526,-0.00419986995288003,-0.0515340131781495,0.0436170074063536,-0.102055105353371,-0.0199090879530518,-0.00416544029175729,0.0116325008637558,0.0935594018828567,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"177",0.3556,0.4324,0.4948,0.4208,0.4324,0.502,0.5656,0.4948,0.4948,0,1,-0.00208005556809289,-4.74708792851107e-05,-0.0232865596195747,0.0228908219237248,-0.0429076844006291,-0.00741927422795048,-0.000176911806766267,0.00771488512631587,0.0406107438530888,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"178",0.3552,0.4324,0.4988,0.4284,0.4324,0.4916,0.5616,0.4988,0.4988,0,0,-0.00278870769813812,-0.000183732774273885,-0.0305908959714104,0.031261059924364,-0.0657633681069513,-0.010623461808791,-6.09937669483353e-05,0.0101386651079578,0.0624506340771259,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
